face_L,face_a,face_b,face_chroma,face_redness,face_uniformity,body_L,body_a,body_b,body_chroma,delta_L,delta_a,delta_b,hair_L,hair_chroma,hair_undertone,eye_L,eye_chroma,eye_clarity,contrast_face_hair,contrast_face_eye,contrast_overall,uv_index,cloud_cover,sun_angle,ambient_light_condition,white_balance_shift,shadow_level,highlight_level,noise_level,has_foundation,has_lipstick,has_contour,has_blush,ethnicity_baseline_L,ethnicity_baseline_a,ethnicity_baseline_b,ethnicity,season,sub_season
61.759,3.292,3.056,4.491,0.1559,0.7723,53.781,3.976,8.365,9.262,7.977,-0.684,-5.309,22.171,10.211,-0.2546,26.392,16.215,0.4238,0.3959,0.3537,0.3379,2.69,65.79,48.96,0.4061,-0.112,0.1173,0.4673,0.1367,0,0,0,1,51.167,10.69,14.274,Asian,Summer,Summer_Soft
72.155,0.076,1.934,1.935,0.1635,0.8418,70.216,0.874,-2.989,3.114,1.94,-0.798,4.923,47.115,7.695,-0.7458,35.059,5.443,0.5737,0.2504,0.371,0.2995,2.26,58.22,26.12,0.401,0.0976,0.2055,0.0648,0.0062,1,0,0,0,78.648,11.868,13.534,Caucasian,Summer,Summer_Cool
45.348,15.065,21.344,26.125,0.2936,0.8845,42.008,14.529,20.038,24.751,3.34,0.536,1.306,21.473,8.521,0.7245,17.53,5.873,0.4827,0.2388,0.2782,0.2836,8.59,44.56,38.69,0.6294,0.0167,0.2707,0.0703,0.023,1,0,0,1,55.547,16.403,22.198,Asian,Autumn,Autumn_Deep
83.805,2.342,9.659,9.939,0.1208,0.84,76.683,1.588,10.614,10.732,7.122,0.754,-0.955,60.579,24.553,0.9988,48.054,27.027,0.8077,0.2323,0.3575,0.2637,2.57,77.3,73.2,0.3684,-0.018,0.4145,0.0982,0.0624,1,0,1,0,80.452,6.474,13.403,Caucasian,Spring,Spring_Clear
73.646,4.899,1.613,5.157,0.1237,0.8077,72.16,4.142,0.381,4.16,1.486,0.756,1.232,20.026,4.093,-0.7973,20.416,12.07,0.4923,0.5362,0.5323,0.4269,3.38,69.04,25.33,0.4963,0.0353,0.1013,0.0981,0.0307,1,0,1,1,58.306,7.856,14.604,Asian,Summer,Summer_Cool
80.485,7.004,20.359,21.531,0.1602,0.8868,76.641,7.816,22.691,24.0,3.845,-0.812,-2.332,57.987,14.699,0.698,58.265,26.562,0.5203,0.225,0.2222,0.2386,0.27,97.97,6.3,0.1958,0.1267,0.0597,0.4721,0.0347,0,0,0,0,68.009,3.215,16.801,Caucasian,Spring,Spring_Light
78.024,4.729,-0.971,4.828,0.2796,0.9137,74.602,7.175,-1.183,7.272,3.422,-2.445,0.213,26.881,9.429,-1.0,19.36,4.955,0.7216,0.5114,0.5866,0.3815,3.79,64.27,52.52,0.5558,0.0895,0.0985,0.1715,0.0318,1,0,1,0,73.156,9.802,19.468,Caucasian,Winter,Winter_Cool
54.186,3.291,3.129,4.542,0.1146,0.9009,41.3,6.061,4.018,7.271,12.886,-2.769,-0.888,20.619,4.855,-0.5837,32.423,13.599,0.6597,0.3357,0.2176,0.2376,0.98,31.08,34.58,0.6454,-0.0198,0.0777,0.0924,0.0223,0,0,0,0,52.014,6.157,24.438,Asian,Summer,Summer_Cool
47.616,16.741,32.283,36.366,0.2931,0.7905,35.948,21.189,32.63,38.906,11.667,-4.448,-0.346,9.6,7.884,1.0,29.463,10.985,0.6345,0.3802,0.1815,0.2737,8.48,97.11,56.27,0.05,0.0347,0.301,0.0643,0.0349,0,1,0,0,55.466,8.708,24.398,African,Autumn,Autumn_Warm
74.694,2.37,18.074,18.229,0.0999,0.8171,61.545,2.83,19.189,19.397,13.149,-0.46,-1.116,61.91,13.93,0.7102,52.28,41.351,0.6041,0.1278,0.2241,0.2799,0.76,77.8,44.53,0.2631,0.0241,0.18,0.2258,0.0131,0,0,0,0,71.469,7.099,17.395,Caucasian,Spring,Spring_Clear
